"","Classical.cor","Classical.p_value","Mesenchymal.cor","Mesenchymal.p_value","Neural.cor","Neural.p_value","Proneural.cor","Proneural.p_value","Calls"
"MGH31_C03","0.227199795694542","0","0.0700026081973932","0.14","-0.126713089899539","0.99","-0.17466144785397","1","Classical"
"MGH31_C04","-0.0852336839361916","0.97","0.178062542358032","0","-0.0517754424394445","0.77","-0.135091560838284","0.99","Mesenchymal"
"MGH31_C05","-0.0878704811339199","0.93","0.0214091717915899","0.32","-0.00388913488299214","0.52","0.0328306661236788","0.33","NA"
"MGH31_C06","-0.013660107939102","0.53","0.0961260716015641","0.03","-0.164665688978573","1","0.00219330311449047","0.55","Mesenchymal"
"MGH31_C07","0.0493664345505026","0.14","0.0147096290821059","0.52","-0.22750794568786","1","0.114276731611804","0","Proneural"
"MGH31_C09","0.0219352443936591","0.39","-0.047701009946396","0.75","-0.0597625694231224","0.82","0.114718614718617","0.02","Proneural"
"MGH31_C10","-0.0447590886373318","0.78","0.12145720693277","0.01","-0.00347947665658065","0.58","-0.0870177401767631","0.96","Mesenchymal"
"MGH31_C11","-0.12148158919598","0.99","0.142788032099961","0","-0.0940363006734291","0.98","0.0222534668891796","0.41","Mesenchymal"
"MGH31_D01","0.0653151100543606","0.09","-0.0924705671469845","1","0.0378686131004634","0.31","0.0168056564260159","0.3","NA"
"MGH31_D02","-0.0651491521494623","0.92","0.128635691217625","0.02","-0.039869574004789","0.65","-0.0743684837850667","0.96","Mesenchymal"
"MGH31_D05","-0.0685164460960571","0.87","-0.0189951290151386","0.68","-0.0706245545797588","0.9","0.0939227175851369","0.02","Proneural"
"MGH31_D07","-0.0293515889714126","0.77","0.0755710592806007","0.1","-0.0217233660975997","0.62","-0.0673311831309426","0.83","NA"
"MGH31_D09","-0.00938407362005453","0.55","-0.129433658636305","1","0.0190553510900908","0.4","0.171663329381766","0.02","Proneural"
"MGH31_D10","0.00956715096902604","0.5","0.163765592539146","0","0.00167629568260713","0.45","-0.161642008622565","1","Mesenchymal"
"MGH31_D11","-0.135523158630079","0.99","0.248286092064333","0","-0.0368354042993371","0.75","-0.138582719349448","1","Mesenchymal"
"MGH31_D12","-0.0629518211513554","0.9","0.454239428492593","0","-0.191929914204396","1","-0.322511023916074","1","Mesenchymal"
"MGH31_E01","-0.0758477976691176","0.86","-0.125185620071237","0.98","0.0731576280869257","0.13","0.117465379445469","0.02","Proneural"
"MGH31_E02","-0.0258964823469833","0.7","0.110475386773519","0.01","-0.076509212426018","0.92","-0.0567797637677616","0.84","Mesenchymal"
"MGH31_E03","-0.0429645680880071","0.82","0.170288301479422","0","-0.0660848808219834","0.94","-0.151318378591109","1","Mesenchymal"
"MGH31_E04","-0.255263599661197","1","0.112530928286656","0.03","0.159784633365455","0","0.0377685185073301","0.25","Mesenchymal Neural"
"MGH31_E05","-0.0448744938309079","0.67","0.00646530845710522","0.42","0.0494874790903616","0.21","-0.02328224487897","0.69","NA"
"MGH31_E08","-0.057454264146376","0.88","0.157439052267672","0.01","0.00520108851467577","0.42","-0.0894752869722647","0.96","Mesenchymal"
"MGH31_E09","-0.234152102635298","1","0.101282447637164","0.05","0.249596258052056","0","-0.0702340369224165","0.89","Mesenchymal Neural"
"MGH31_E12","0.0373763787320516","0.34","-0.000654768318558583","0.57","-0.0157502913578328","0.53","-0.0302599295806709","0.67","NA"
"MGH31_F02","0.10004119743865","0.03","-0.0146902941825114","0.59","0.131738553058545","0","-0.154075616390684","1","Classical Neural"
"MGH31_F03","-0.0908607445004546","0.95","0.0257365640070774","0.32","-0.0447671448463074","0.78","0.0621838692928312","0.13","NA"
"MGH31_F04","-0.0556959965374417","0.85","-0.0285151502029661","0.71","-0.00860685085912927","0.47","0.0439550834079549","0.25","NA"
"MGH31_F06","0.0617852820916822","0.11","0.187353364423583","0","-0.124446475504241","1","-0.139351885978854","0.99","Mesenchymal"
"MGH31_F07","0.089660570768308","0.08","0.0708235358093418","0.13","-0.0907302339150492","0.96","-0.00483171181970857","0.59","NA"
"MGH31_F08","-0.0289592515942987","0.68","0.0880170952737248","0.01","-0.0828472334323815","0.97","-0.0364368270295513","0.84","Mesenchymal"
"MGH31_F09","-0.0863929724077868","0.93","0.214054860763547","0","-0.168610008893049","1","-0.0507188757398128","0.87","Mesenchymal"
"MGH31_F10","-0.191188138762964","1","0.074363836487171","0.05","0.105427578759765","0","0.0556776742689102","0.2","Mesenchymal Neural"
"MGH31_F11","0.0814782821221952","0.04","-0.0825106769933828","0.91","0.130008482181026","0","-0.0909141260402096","0.94","Classical Neural"
"MGH31_F12","0.0350233614954904","0.23","1.4702579899962e-05","0.48","-0.105496862156956","0.98","0.0652927606496057","0.13","NA"
"MGH31_G01","-0.167604594012888","1","0.113083181356323","0.01","-0.0938276448609599","0.96","0.0717357144266994","0.08","Mesenchymal"
"MGH31_G02","-0.210826557977667","1","0.148259405874788","0","0.133152619138995","0","-0.0329843383253644","0.69","Mesenchymal Neural"
"MGH31_G05","0.0329708408537207","0.28","-0.066240761795044","0.87","0.020086948649422","0.45","0.0284227109387625","0.43","NA"
"MGH31_G07","0.0149466845125123","0.47","0.117920531548615","0.01","-0.100175534723319","0.99","-0.0210591337882679","0.68","Mesenchymal"
"MGH31_G09","-0.15935282056436","1","0.0934087125877245","0.03","0.0403011854006591","0.23","0.0142218285421043","0.44","Mesenchymal"
"MGH31_G12","-0.0672504128555347","0.9","0.0934191856583382","0.05","-0.0485094553207184","0.71","-0.00775148365173504","0.65","Mesenchymal"
"MGH31_H01","-0.0420761696432179","0.68","0.0480196329792965","0.21","0.0092354365644539","0.55","-0.0402834657975636","0.81","NA"
"MGH31_H02","-0.0945001369052018","0.97","0.153000484379516","0","0.00162332610859227","0.47","-0.0668915154818211","0.89","Mesenchymal"
"MGH31_H04","-0.0622704672772404","0.92","0.0238610787464137","0.33","-0.118666951185114","0.99","0.0596074934029724","0.1","NA"
"MGH31_H05","-0.118918909120828","0.98","0.0166253953835913","0.33","0.0703035146520794","0.12","0.0177494414025543","0.4","NA"
"MGH31_H06","-0.0185323017223471","0.67","0.134675430478448","0","-0.152966865114592","1","0.00959756412440902","0.48","Mesenchymal"
"MGH31_H07","-0.191853380219128","0.99","0.0376299441201261","0.28","0.128572664336342","0.01","0.0459882693529302","0.27","Neural"
"MGH31_H08","-0.203288766049606","1","-0.170452245315567","0.99","-0.0078165367586186","0.53","0.349660450898013","0","Proneural"
"MGH31_H09","-0.123266643699758","0.99","0.223267134799496","0","-0.0961806620975211","0.94","-0.0644464558114892","0.92","Mesenchymal"
"MGH31_H10","-0.209531320979608","1","0.150030966050132","0","0.00912587212238514","0.38","0.0157204849677171","0.36","Mesenchymal"
"MGH31_H11","-0.0326822271671682","0.7","0.122722434424983","0.02","0.0591563396977052","0.12","-0.165716436722302","1","Mesenchymal"
"MGH31_H12","-0.0877337269865584","0.98","0.171865707038004","0","-0.118133227340478","0.97","-0.0338024464292267","0.68","Mesenchymal"
"MGH26Tumor","0.145902576869074","0","-0.711978876622193","1","0.276541457402444","0","0.47234927536408","0","Classical Neural Proneural"
"MGH28Tumor","-0.00971558661940228","0.51","0.135620826506536","0","0.00838127700781124","0.44","-0.152387639035079","1","Mesenchymal"
"MGH29Tumor","-0.0879121720153689","0.92","0.0218703897089997","0.33","0.120192595759877","0.04","-0.0346761423806188","0.71","Neural"
"MGH30Tumor","0.402362120752706","0","-0.263260568989842","1","0.229694803614299","0","-0.186589069254003","1","Classical Neural"
"MGH31Tumor","0.0968205264954116","0.04","-0.0895135359402552","0.92","0.0520112879572065","0.23","-0.0269601060519462","0.71","Classical"
