cell.instance,tumor.label
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G10-S82-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B07-S19-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B10-S118-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D12-S144-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D05-S137-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B08-S308-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B12-S24-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B02-S14-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-C08-S32-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F06-S66-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E01-S49-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F01-S157-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D09-S45-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H01-S181-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-A04-S4-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B08-S20-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D11-S335-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D10-S334-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-H01-S373-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F03-S159-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E08-S56-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-A07-S7-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B11-S119-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G02-S170-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-H03-S375-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F11-S167-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C04-S316-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F06-S162-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-A12-S108-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B04-S304-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-F04-S160-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C08-S128-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F03-S63-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H07-S187-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B07-S115-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G04-S172-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G07-S79-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-G12-S180-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B10-S310-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G03-S75-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G09-S81-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B04-S112-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-C10-S34-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E11-S59-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-C07-S127-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D10-S46-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G06-S78-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-H02-S374-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-B09-S117-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H09-S189-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-B06-S306-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-C05-S317-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D07-S331-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-A10-S106-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-G08-S80-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-E04-S52-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E11-S347-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B04-S16-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-D08-S332-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-F03-S351-comb,Mel79
